horizon_day,date,forecast_demand,store_id,product_id
1,2024-06-26,8.500599999999999,1,300
2,2024-06-27,7.902433333333332,1,300
3,2024-06-28,8.368066666666676,1,300
4,2024-06-29,9.158900000000022,1,300
5,2024-06-30,9.47210000000002,1,300
6,2024-07-01,8.034499999999996,1,300
7,2024-07-02,8.075766666666663,1,300
1,2024-06-26,7.306333333333332,1,117
2,2024-06-27,7.4363333333333275,1,117
3,2024-06-28,7.9186666666666605,1,117
4,2024-06-29,8.234999999999978,1,117
5,2024-06-30,9.138333333333318,1,117
6,2024-07-01,7.832999999999991,1,117
7,2024-07-02,7.46966666666666,1,117
1,2024-06-26,6.020000000000003,1,691
2,2024-06-27,5.852000000000003,1,691
3,2024-06-28,5.810666666666668,1,691
4,2024-06-29,6.669000000000003,1,691
5,2024-06-30,6.936000000000002,1,691
6,2024-07-01,6.209666666666662,1,691
7,2024-07-02,6.025666666666665,1,691
1,2024-06-26,6.285333333333328,1,70
2,2024-06-27,6.5703333333333225,1,70
3,2024-06-28,6.813666666666666,1,70
4,2024-06-29,6.93,1,70
5,2024-06-30,7.1766666666666605,1,70
6,2024-07-01,6.1563333333333246,1,70
7,2024-07-02,6.091666666666656,1,70
1,2024-06-26,5.794666666666675,1,215
2,2024-06-27,5.843000000000009,1,215
3,2024-06-28,5.894666666666674,1,215
4,2024-06-29,5.946666666666674,1,215
5,2024-06-30,6.156000000000009,1,215
6,2024-07-01,5.3006666666666655,1,215
7,2024-07-02,5.793333333333341,1,215
1,2024-06-26,2.2529999999999952,1,4
2,2024-06-27,2.253999999999996,1,4
3,2024-06-28,2.621999999999994,1,4
4,2024-06-29,3.6283333333333347,1,4
5,2024-06-30,3.856000000000002,1,4
6,2024-07-01,2.302333333333329,1,4
7,2024-07-02,2.2796666666666616,1,4
1,2024-06-26,4.175666666666657,1,104
2,2024-06-27,5.023666666666656,1,104
3,2024-06-28,5.227666666666652,1,104
4,2024-06-29,5.305999999999985,1,104
5,2024-06-30,5.372333333333325,1,104
6,2024-07-01,5.006999999999988,1,104
7,2024-07-02,5.0709999999999855,1,104
1,2024-06-26,3.290999999999998,1,486
2,2024-06-27,2.958666666666664,1,486
3,2024-06-28,3.082999999999997,1,486
4,2024-06-29,3.123999999999999,1,486
5,2024-06-30,3.163999999999999,1,486
6,2024-07-01,2.9673333333333303,1,486
7,2024-07-02,3.0619999999999976,1,486
1,2024-06-26,4.392333333333329,1,166
2,2024-06-27,4.50533333333333,1,166
3,2024-06-28,4.890999999999986,1,166
4,2024-06-29,4.774333333333322,1,166
5,2024-06-30,4.9599999999999875,1,166
6,2024-07-01,3.803999999999997,1,166
7,2024-07-02,4.0719999999999965,1,166
1,2024-06-26,1.9543333333333361,1,118
2,2024-06-27,1.890666666666671,1,118
3,2024-06-28,1.8123333333333385,1,118
4,2024-06-29,2.062666666666668,1,118
5,2024-06-30,1.709666666666668,1,118
6,2024-07-01,1.6926666666666665,1,118
7,2024-07-02,1.6753333333333331,1,118
1,2024-06-26,2.38113333333333,1,292
2,2024-06-27,2.2555333333333305,1,292
3,2024-06-28,2.693133333333331,1,292
4,2024-06-29,2.3376666666666637,1,292
5,2024-06-30,2.371566666666665,1,292
6,2024-07-01,2.701133333333332,1,292
7,2024-07-02,2.2983333333333293,1,292
1,2024-06-26,2.962999999999997,1,114
2,2024-06-27,3.0469999999999975,1,114
3,2024-06-28,3.0563333333333316,1,114
4,2024-06-29,3.385333333333331,1,114
5,2024-06-30,3.5439999999999987,1,114
6,2024-07-01,2.8700000000000006,1,114
7,2024-07-02,3.400666666666668,1,114
1,2024-06-26,2.334999999999999,1,775
2,2024-06-27,3.402666666666664,1,775
3,2024-06-28,3.604000000000002,1,775
4,2024-06-29,3.8823333333333356,1,775
5,2024-06-30,3.8803333333333367,1,775
6,2024-07-01,3.5043333333333333,1,775
7,2024-07-02,3.46033333333333,1,775
1,2024-06-26,2.7987000000000086,1,122
2,2024-06-27,2.665100000000007,1,122
3,2024-06-28,2.6660000000000066,1,122
4,2024-06-29,2.75043333333334,1,122
5,2024-06-30,3.0189333333333415,1,122
6,2024-07-01,2.6569333333333405,1,122
7,2024-07-02,2.661500000000007,1,122
1,2024-06-26,2.6926666666666725,1,796
2,2024-06-27,2.690666666666672,1,796
3,2024-06-28,2.9063333333333383,1,796
4,2024-06-29,2.96633333333334,1,796
5,2024-06-30,2.9720000000000057,1,796
6,2024-07-01,2.6810000000000067,1,796
7,2024-07-02,2.670666666666672,1,796
1,2024-06-26,2.408999999999994,1,19
2,2024-06-27,2.413666666666661,1,19
3,2024-06-28,2.1049999999999964,1,19
4,2024-06-29,1.977999999999998,1,19
5,2024-06-30,2.001999999999998,1,19
6,2024-07-01,1.9749999999999976,1,19
7,2024-07-02,2.0416666666666634,1,19
1,2024-06-26,3.3716666666666604,1,834
2,2024-06-27,3.532999999999995,1,834
3,2024-06-28,3.425333333333327,1,834
4,2024-06-29,3.517999999999997,1,834
5,2024-06-30,3.408333333333327,1,834
6,2024-07-01,3.455999999999996,1,834
7,2024-07-02,3.3753333333333275,1,834
1,2024-06-26,1.6330000000000036,1,596
2,2024-06-27,1.6173333333333366,1,596
3,2024-06-28,1.6196666666666704,1,596
4,2024-06-29,1.8243333333333362,1,596
5,2024-06-30,1.8620000000000032,1,596
6,2024-07-01,1.7410000000000025,1,596
7,2024-07-02,1.7623333333333362,1,596
1,2024-06-26,1.395666666666666,1,76
2,2024-06-27,1.3333333333333321,1,76
3,2024-06-28,1.2503333333333335,1,76
4,2024-06-29,1.4119999999999997,1,76
5,2024-06-30,1.5430000000000001,1,76
6,2024-07-01,1.4419999999999988,1,76
7,2024-07-02,1.423999999999999,1,76
1,2024-06-26,1.5166666666666662,1,381
2,2024-06-27,1.5023333333333326,1,381
3,2024-06-28,1.4426666666666668,1,381
4,2024-06-29,1.5836666666666666,1,381
5,2024-06-30,1.7086666666666672,1,381
6,2024-07-01,1.501333333333335,1,381
7,2024-07-02,1.7266666666666675,1,381
1,2024-06-26,2.213000000000003,1,769
2,2024-06-27,2.2736666666666694,1,769
3,2024-06-28,2.3333333333333353,1,769
4,2024-06-29,2.6103333333333367,1,769
5,2024-06-30,2.889333333333341,1,769
6,2024-07-01,2.7836666666666754,1,769
7,2024-07-02,2.779000000000009,1,769
1,2024-06-26,1.910333333333334,1,290
2,2024-06-27,1.8466666666666682,1,290
3,2024-06-28,2.0443333333333307,1,290
4,2024-06-29,2.128999999999995,1,290
5,2024-06-30,2.1593333333333278,1,290
6,2024-07-01,1.9346000000000003,1,290
7,2024-07-02,1.8822666666666672,1,290
1,2024-06-26,1.3433333333333315,1,190
2,2024-06-27,1.585333333333331,1,190
3,2024-06-28,1.5443333333333304,1,190
4,2024-06-29,1.5709999999999975,1,190
5,2024-06-30,1.5589999999999975,1,190
6,2024-07-01,1.5219999999999974,1,190
7,2024-07-02,1.4776666666666654,1,190
1,2024-06-26,2.0367666666666637,1,90
2,2024-06-27,2.170733333333331,1,90
3,2024-06-28,2.152066666666664,1,90
4,2024-06-29,1.974099999999997,1,90
5,2024-06-30,2.1330999999999976,1,90
6,2024-07-01,1.6110666666666682,1,90
7,2024-07-02,1.7676666666666676,1,90
1,2024-06-26,1.9590666666666687,1,296
2,2024-06-27,1.6113333333333342,1,296
3,2024-06-28,1.8990666666666702,1,296
4,2024-06-29,1.9019333333333357,1,296
5,2024-06-30,1.6643999999999988,1,296
6,2024-07-01,1.5841333333333323,1,296
7,2024-07-02,1.5614666666666654,1,296
1,2024-06-26,1.8413333333333344,1,810
2,2024-06-27,1.8339999999999994,1,810
3,2024-06-28,1.8210000000000002,1,810
4,2024-06-29,1.9490000000000005,1,810
5,2024-06-30,1.9293333333333347,1,810
6,2024-07-01,1.8313333333333328,1,810
7,2024-07-02,2.035666666666668,1,810
1,2024-06-26,1.202000000000001,1,740
2,2024-06-27,1.157666666666668,1,740
3,2024-06-28,1.2576666666666676,1,740
4,2024-06-29,1.358333333333334,1,740
5,2024-06-30,1.3656666666666668,1,740
